target_name,pathogen_binary,sampling_date,site_code,field_id,bombus_spp,host_plant,bee_caste,sampling_event,pathogen_load
BQCV,1,5/17/20,FLAN,24,bimaculatus,flight,queen,1,3238595.935
BQCV,1,5/17/20,FLAN,20,bimaculatus,violet ,queen,1,11384850.86
BQCV,1,5/17/20,FLAN,17,impatiens,mint,queen,1,531094.1246
BQCV,1,5/19/20,COL,31,impatiens,flight,queen,1,205182854.4
BQCV,1,5/19/20,COL,33,impatiens,dandelion,queen,1,1012992.437
BQCV,1,8/4/20,CIND,5,impatiens,red clover,worker,3,2616767.527
BQCV,1,5/17/20,BOST,27,impatiens,flight,queen,1,13289577.01
BQCV,1,5/19/20,COL,1,impatiens,dandelion,queen,1,1232911.193
BQCV,1,7/6/20,FLAN,34,impatiens,crown vetch,worker,2,2327661.105
BQCV,1,7/6/20,FLAN,12,impatiens,saint johns wort,worker,2,2575431.569
BQCV,1,5/19/20,COL,4,ternarius,dandelion,queen,1,6159383.031
BQCV,0,5/17/20,FLAN,22,bimaculatus,violet,queen,1,0
BQCV,1,7/6/20,FLAN,16,impatiens,red clover,worker,2,41570992.9
DWV,1,9/9/20,BOST,6,impatiens,solidago,worker,4,85329.54142
DWV,1,9/10/20,MUDGE,18,impatiens,crown vetch,worker,4,45153.02837
DWV,0,9/10/20,MUDGE,11,impatiens,crown vetch,worker,4,0
DWV,0,9/9/20,BOST,11,impatiens,solidago,male,4,0
DWV,1,9/10/20,CIND,14,impatiens,knot weed,worker,4,215750.2847
DWV,1,9/10/20,MUDGE,4,impatiens,crown vetch,worker,4,27694.50213
DWV,1,9/10/20,CIND,13,impatiens,red clover,worker,4,44988.08297
DWV,0,7/7/20,BOST,38,impatiens,red clover,worker,2,0
DWV,0,9/10/20,MUDGE,5,impatiens,crown vetch,worker,4,0
DWV,0,9/9/20,BOST,12,impatiens,solidago,male,4,0
DWV,0,9/9/20,BOST,18,impatiens,solidago,worker,4,0
DWV,0,9/9/20,BOST,23,impatiens,solidago,male,4,0
DWV,0,9/10/20,CIND,20,impatiens,red clover,worker,4,0
DWV,0,9/10/20,CIND,11,impatiens,birdsfoot,worker,4,0
DWV,0,9/10/20,CIND,17,impatiens,red clover,worker,4,0
DWV,1,9/10/20,CIND,16,impatiens,red clover,worker,4,46865.1454
DWV,0,9/9/20,BOST,17,impatiens,solidago,worker,4,0
DWV,0,9/9/20,BOST,7,impatiens,solidago,worker,4,0
DWV,1,7/7/20,COL,22,impatiens,red clover,worker,2,38650.78998
DWV,0,7/7/20,BOST,45,impatiens,red clover,worker,2,0
DWV,0,7/7/20,BOST,46,impatiens,red clover,worker,2,0
DWV,1,9/10/20,CIND,19,impatiens,knot weed,worker,4,42594.79507
DWV,0,9/9/20,BOST,16,impatiens,solidago,worker,4,0
DWV,0,9/9/20,BOST,10,impatiens,solidago,male,4,0
DWV,1,9/9/20,BOST,20,impatiens,solidago,worker,4,188818.8759
DWV,1,9/10/20,MUDGE,16,impatiens,crown vetch,worker,4,1322198.956
DWV,0,9/10/20,MUDGE,2,impatiens,crown vetch,worker,4,0
DWV,0,9/9/20,BOST,19,impatiens,solidago,worker,4,0
DWV,1,9/9/20,BOST,5,impatiens,solidago,worker,4,41186.674
DWV,1,7/7/20,BOST,21,bimaculatus ,red clover,worker,2,31693.73363
DWV,1,9/10/20,MUDGE,3,impatiens,crown vetch,worker,4,18851.8983
DWV,0,9/10/20,CIND,5,impatiens,red clover,worker,4,0
DWV,0,9/9/20,BOST,24,impatiens,solidago,male,4,0
DWV,1,9/10/20,MUDGE,15,impatiens,crown vetch,worker,4,40167.96608
DWV,1,7/7/20,BOST,44,impatiens,red clover,worker,2,187511.0816
DWV,0,9/10/20,MUDGE,9,impatiens,solidago,worker,4,0
DWV,0,9/10/20,MUDGE,8,impatiens,solidago,worker,4,0
DWV,0,9/9/20,BOST,29,vagans,solidago,male,4,0
DWV,0,9/9/20,BOST,27,impatiens,solidago,male,4,0
DWV,0,9/10/20,MUDGE,15,impatiens,crown vetch,worker,4,0
DWV,0,9/10/20,CIND,6,impatiens,red clover,worker,4,0
DWV,0,9/10/20,MUDGE,19,impatiens,crown vetch,worker,4,0
DWV,0,9/10/20,MUDGE,10,impatiens,NA,worker,4,0
DWV,0,9/9/20,BOST,25,impatiens,solidago,male,4,0
DWV,0,9/10/20,MUDGE,6,impatiens,crown vetch,worker,4,0
DWV,0,9/10/20,MUDGE,14,impatiens,crown vetch,worker,4,0
DWV,1,9/9/20,BOST,28,impatiens,solidago,male,4,4063133.786
DWV,1,9/9/20,BOST,3,impatiens,solidago,worker,4,885190.483
DWV,1,9/9/20,BOST,26,impatiens,solidago,male,4,706340.965
DWV,0,7/6/20,COL,8,impatiens,red clover,worker,2,0
